"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Maakunta","Etelä-Savo","56192","60850","59657","63345","62343","63395","62875","60337","60435","66548","68061","64682","63548","58832","55667","."
"Maakunta","Etelä-Karjala","38051","38765","43835","42181","42640","43015","36929","42286","45501","51788","52460","53863","54568","49409","44341","."
"Pirkanmaa","Tampere","69625","73242","75874","79194","79666","77696","82115","85116","81302","84047","74636","70792","85752","71976","76833","."
"Pirkanmaa","Ylöjärvi","5790","6529","6802","5647","8729","11287","8726","8440","9976","12438","13280","11553","11523","10737","10349","."
"Pirkanmaa","Lempäälä","5260","5473","5672","5532","6052","6014","6379","7128","8761","7636","8142","7243","8449","8153","8123","."
"Pirkanmaa","Pirkkala","4776","4532","4848","4882","4866","5670","5283","5465","6134","6432","6590","6600","7336","7279","6917","."
"Pirkanmaa","Orivesi","1770","1467","1489","2732","2826","2738","2666","2242","2969","4230","4223","3783","4514","4533","4587","."
"Pirkanmaa","Kangasala","6147","6240","6944","6496","7116","7427","7380","6341","7008","9419","8527","7154","11419","11096","9802","."
"Pirkanmaa","Vesilahti","1649","1788","1826","1939","1870","1970","2224","2490","2502","2664","2669","2322","2612","2290","2246","."
"Pirkanmaa","Sastamala","0","0","0","0","0","0","0","0","0","0","10729","12009","14771","11371","9752","."
"Pirkanmaa","Ruovesi","2766","2197","2248","2146","2196","2140","2351","2393","2350","2662","2459","2458","2463","2256","2042","."
"Pirkanmaa","Parkano","1573","1350","1160","1362","1555","1618","2124","2236","2261","2653","2730","2644","2547","2323","2662","."
"Pirkanmaa","Hämeenkyrö","2513","3129","3105","2927","3369","2963","2667","2314","2839","3218","4019","2907","3282","4404","4173","."
"Pirkanmaa","Pälkäne","2044","2052","2304","1919","2148","1623","1507","1896","2921","3085","3502","3355","4541","4265","4427","."
"Pirkanmaa","Valkeakoski","8633","8707","8485","8373","8816","7548","5461","7360","7153","7905","8104","6963","7476","6678","7357","."
"Pirkanmaa","Nokia","8716","8397","10182","7882","10032","10018","9541","11379","11008","10646","9950","8964","11108","8079","9093","."
"Pirkanmaa","Virrat","2700","3219","3195","3384","3014","3018","3518","3203","3415","3382","2856","3405","3342","2294","2525","."
"Pirkanmaa","Kihniö","1251","1573","1032","1049","980","1028","968","762","1011","1152","1166","1162","1198","1142","1234","."
"Pirkanmaa","Akaa","0","0","0","0","0","0","0","0","4277","5194","5090","3954","5033","5531","4338","."
"Pirkanmaa","Urjala","1806","1872","1890","1564","1872","1964","1661","1765","1969","2630","2176","2088","2610","2171","2025","."
"Pirkanmaa","Mänttä-Vilppula","0","0","0","0","0","0","0","0","0","0","5847","5118","5543","5187","5123","."
"Pirkanmaa","Punkalaidun","1019","1272","1155","2210","2069","1953","1434","1883","1596","2001","1875","1621","1473","1809","1614","."
"Pirkanmaa","Juupajoki","849","859","846","639","646","714","733","691","872","747","1216","669","1126","974","878","."
"Pirkanmaa","Ikaalinen","2121","1190","2015","2044","2072","2155","1664","1890","1831","1582","2331","2684","2926","2616","2605","."
"Pohjanmaa","Luoto","1997","2215","2464","2282","2510","2677","2470","2480","4437","3577","3915","3879","4013","4062","3863","."
"Pohjanmaa","Vaasa","21388","19134","19699","21684","21332","21034","20085","19983","21372","26116","24903","25360","25399","28244","25882","."
"Pohjanmaa","Isokyrö","1562","1627","1980","1712","1977","2242","2286","2083","2280","2397","2338","2316","2146","1996","2535","."
"Pohjanmaa","Laihia","2746","3133","2910","2949","3171","2863","2663","2513","2694","3170","3138","3081","3483","2578","2853","."
"Pohjanmaa","Kruunupyy","2543","2358","3219","2786","2464","2424","2161","2939","3361","3609","3962","4120","4065","4418","3994","."
"Pohjanmaa","Vöyri","0","0","0","0","0","0","0","0","0","0","0","0","4601","4712","4235","."
"Pohjanmaa","Pietarsaari","8092","7895","8304","8574","8803","8726","9858","8211","7843","13002","9104","9414","10017","8622","7860","."
"Pohjanmaa","Mustasaari","5294","6512","5928","5181","6112","7284","6835","7209","7432","8638","8277","8452","7987","7512","6214","."
"Pohjanmaa","Närpiö","3340","3095","3566","3668","3565","3322","3140","2841","2889","3696","3706","3646","3367","3053","3561","."
"Pohjanmaa","Kaskinen","993","1119","1181","1365","1534","1720","1416","1348","1453","1539","1628","1122","1129","942","321","."
"Pohjanmaa","Pedersören kunta","4215","4243","3929","3926","3831","4107","4761","4259","4726","5176","5674","5282","5198","5044","5175","."
"Pohjanmaa","Uusikaarlepyy","2609","2516","2632","2265","2258","2110","2025","2415","2520","2852","3550","3710","3851","3879","3559","."
"Pohjanmaa","Korsnäs","744","776","856","850","1090","1081","1116","1360","1433","1553","1219","1494","1491","1381","1105","."
"Pohjanmaa","Maalahti","1834","1224","2076","2199","2069","2308","2430","1995","1765","1965","2169","2374","2652","1899","1750","."
"Pohjanmaa","Kristiinankaupunki","2394","2288","2094","2220","3595","2988","3104","2401","2120","3069","3003","2772","2570","4028","4118","."
"Pohjois-Karjala","Nurmes","4634","5048","5100","4669","4554","4143","3656","4114","3603","4821","4297","4328","3984","4009","4264","."
"Pohjois-Karjala","Lieksa","8547","6862","7453","6404","5907","6601","6123","6246","5354","6665","6012","6218","6302","5846","4690","."
"Pohjois-Karjala","Joensuu+Kont.+Lip.+Out.+Polv.","20155","19528","20288","17997","21127","20005","20932","24236","48637","49541","46955","45401","44466","36209","30569","."
"Pohjois-Karjala","Rääkkylä","1630","1658","1815","1418","1696","1963","1764","1737","1929","1959","2468","1934","1977","1410","1340","."
"Pohjois-Karjala","Juuka","2736","3015","3199","3129","3242","3369","2910","3813","3623","3931","3890","4015","3801","3181","2180","."
"Pohjois-Karjala","Valtimo","1167","1158","1111","808","1196","972","944","985","1092","1278","1162","1090","1343","1058","1103","."
"Pohjois-Karjala","Tohmajärvi","2046","2206","1871","1347","2048","2605","2665","2194","1997","2059","2117","2285","2562","2022","1847","."
"Pohjois-Karjala","Ilomantsi","3564","3212","3587","3461","3225","3509","3104","3427","4431","4011","3788","3629","3287","2405","2381","."
"Pohjois-Karjala","Kitee","4197","4615","4699","4970","5726","5514","5205","4319","4061","4658","4397","4463","4515","3936","3968","."
"Pohjois-Pohjanmaa","Pyhäntä","2009","1495","1381","1245","1290","1226","1005","1081","1085","1305","1575","1433","1804","1479","1658","."
"Pohjois-Pohjanmaa","Alavieska","1502","2269","3129","2511","2514","2096","2007","1981","2401","2480","2428","2370","2461","1878","1861","."
"Pohjois-Pohjanmaa","Muhos","4761","4144","3075","2419","2616","4473","3524","4104","4237","3833","5430","4704","3825","3577","3264","."
